country,city,lat,lon,mentions
México,África,20.137778,-97.766667,303
México,Suprema Corte,19.4198886,-99.0880611,302
México,Estado De Veracruz,19.2782315,-99.5796175,294
México,Bolivia,15.3808476,-92.4853607,287
México,Zihuatanejo,17.6467874,-101.551974,281
México,Libia,25.646053,-100.1590577,280
México,Estado De,17.9869361,-102.227958,278
México,Arizona,20.9172778,-87.4650951,277
México,Caribe,21.342757,-87.9908377,275
México,Playa Del Carmen,20.6461095,-87.0809021,275
México,Siria,25.6457167,-100.158046,273
México,Cofepris,22.1401034,-100.9736883,272
México,San Miguel De Allende,20.9130501,-100.73566,268
México,De Colombia,17.0880611,-98.7590773,268
México,Qatar,25.830905,-97.5572145,262
México,Tauro,25.895046,-100.2135879,257
México,Ver,19.333333,-96.666667,256
México,Tlalnepantla,19.0297838,-98.9858196,255
México,Chalco,19.2382585,-98.8188838,253
México,Banco De México,19.4350386,-99.1403951,253
México,Palacio De Gobierno,20.6762137,-103.3460859,252
México,Suecia,20.6686042,-105.2063278,249
México,Kiev,20.8495367,-103.4238084,248
México,Costa Rica,9.9410912,-84.0864478,247
México,Uruguay,25.6862524,-100.4226255,243
México,Torreón,25.542698,-103.410512,242
México,La Paz,24.1619948,-110.3158532,241
México,Reserva Federal,19.3131068,-99.1772616,241
México,San Martín Texmelucan,19.2659835,-98.424878,239
México,Istmo De Tehuantepec,17.1835817,-94.5905353,237
México,Cuautlancingo,19.119366,-98.2491624,237
México,San Lázaro,19.4300375,-99.1141346,234
México,Feria De Puebla,19.4714348,-97.6817832,233
México,Ciudad,19.4326296,-99.1331785,233
México,Cabildo,25.580678,-100.2386237,230
México,Delicias,28.1227078,-105.4684895,230
México,Córdoba,18.8944704,-96.9352891,230
México,Huejotzingo,19.1642771,-98.4392754,225
México,Chicago,19.3839441,-99.2180079,222
México,Corea Del Norte,25.8291974,-97.5564263,221
México,Tuxpan,20.9298337,-97.3936617,221
México,Coatepec,19.4543134,-96.9596375,219
México,Deporte,19.3708903,-99.2948868,219
México,Pensilvania,40.5414875,-77.3551912,218
México,Azcapotzalco,19.4838908,-99.1843937,217
México,Georgia,32.0703156,-84.2410719,217
México,Foto,19.8698974,-99.6608008,213
México,Suiza,25.6700939,-100.3587512,212
México,Taxco,18.5565446,-99.6052838,212
México,Papantla,20.4173494,-97.321741,212
México,Policía Municipal,19.3140421,-99.6338549,209
México,Los Reyes,19.6625795,-102.3698977,209
México,Infonavit,21.1664915,-101.6694374,208
México,Atlántico,20.5948198,-103.3564937,208
México,Municipio,23.2017775,-102.8832383,208
México,Cuernavaca,18.9331321,-99.2599579,205
México,Cholula,19.0678244,-98.3106315,205
México,Centroamérica,25.7143737,-100.2499589,203
México,Valencia,24.8297551,-107.435265,200
México,Ciudad Universitaria,19.3215473,-99.1849188,199
México,Morelia,19.6546004,-101.2623797,197
México,Houston,21.4861102,-104.8366822,197
México,General,-25.2914584,-57.6355139,195
México,Poder Legislativo,21.8808517,-102.2953508,194
México,Tláhuac,19.2703914,-99.0047499,194
México,Cuajimalpa,19.3572429,-99.2996246,193
México,Océano Pacífico,25.7291432,-100.2029957,192
México,Coyuca De Benítez,17.1782226,-100.0258611,192
México,Iguala,18.3466358,-99.5376944,191
México,Minatitlán,17.992773,-94.5567103,189
México,Península De Yucatán,18.8016859,-89.7426971,188
México,Tuxtla Gutiérrez,16.753801,-93.115959,187
México,Egipto,17.2622847,-91.9714237,186
México,Río Bravo,25.7274781,-98.0537153,184
México,Hermosillo,29.0948207,-110.9692202,183
México,Metepec,19.2511338,-99.5937281,182
México,Iztacalco,19.3957447,-99.097453,182
México,Países Bajos,20.871944,-97.344167,180
México,Volcán Popocatépetl,21.0856018,-101.634921,178
México,La Habana,24.8501631,-100.158298,178
México,Cuautitlán Izcalli,19.6531356,-99.2145002,176
México,Congreso De Puebla,18.966563,-98.2395942,176
México,Granada,25.6408702,-103.2679227,174
México,Lagos De Moreno,21.5330301,-101.8199571,174
México,Taiwán,20.9856668,-89.65798,174
México,Nezahualcóyotl,19.4325047,-99.0352121,172
México,Izúcar De Matamoros,18.5065817,-98.4230778,170
México,Paseo De La Reforma,25.8732209,-97.5157587,170
México,Puerto Vallarta,20.6407176,-105.220306,168
México,Texcoco,19.4755907,-98.8553964,167
México,Haití,25.7351901,-100.2350285,167
México,Tula,22.9478817,-99.8055882,166
México,Dinamarca,19.171777,-96.1676739,165
México,Auditorio Nacional,19.4247897,-99.1948518,165
México,Nogada,25.5489329,-103.3611174,164
México,Turquía,25.6452967,-100.1584688,164
México,Mineral,20.1476938,-98.674331,163
México,Chignahuapan,19.8213915,-98.1177571,163
México,Berlín,24.8250756,-107.6341734,162
México,Tulum,20.429647,-87.6529306,162
México,Palenque,17.453161,-91.8121241,162
México,Lima,16.775,-96.928056,161
México,Estado De Derecho,20.122642,-98.7401003,161
México,Fuente,25.0344383,-111.6737511,160
México,Estado De Guerrero,16.8553473,-99.9162163,160
México,Aeropuerto Internacional De La Ciudad De México,19.4342349,-99.0733121,156
México,Covid,19.3571088,-99.2994096,155
México,Bogotá,4.5531916,-74.1356396,155
México,Bélgica,16.2791409,-91.5969567,154
México,Capricornio,25.6842703,-100.2024531,153
México,México-Puebla,19.3477889,-98.6079119,150
México,Mexicali,32.6245314,-115.452604,149
México,Marte,25.6952649,-101.7654188,148
México,Wall Street,36.8434901,-103.9193046,147
México,Santiago,25.374378,-100.2609439,147
