,media_name_normalized,count,median_char_len,median_word_count,date_min,date_max,date_span_days,percentage,percentage_cum_sum
237,www.eldictamen.mx/category/estado-del-tiempo,3,2092.0,345.0,2024-11-15 08:17:27.000,2024-12-20 08:04:00.000,34,0.002254283137962128,99.9729486023444
203,traficozmg.com/category/noticias,3,2331.0,367.0,2024-12-23 19:05:36.000,2024-12-24 00:02:13.000,0,0.002254283137962128,99.97520288548236
20,bespokelife.mx/comments/feed/,2,5930.0,1046.0,2023-04-21 07:00:00.000,2023-06-15 07:00:00.000,55,0.0015028554253080854,99.97670574090768
157,noticiasgdl.com/category/sin-categoria/feed/,2,2173.5,341.0,2024-03-03 12:20:29.000,2025-02-27 14:10:39.000,361,0.0015028554253080854,99.97820859633299
10,acento.com.mx/category/nacional/feed/,2,3676.0,593.0,2026-04-28 23:23:14.000,2026-04-30 00:21:35.000,1,0.0015028554253080854,99.9797114517583
31,diarioamanecer.com.mx/category/edomex,2,4997.5,784.5,2024-12-17 12:00:00.000,2024-12-19 12:00:00.000,2,0.0015028554253080854,99.98121430718362
195,sintesis.com.mx/category/reportaje,2,7486.0,1118.5,2026-03-02 00:00:00.000,2026-03-19 00:00:00.000,17,0.0015028554253080854,99.98271716260894
65,elprovincia.com/category/charreria,2,2096.5,338.5,2024-09-30 13:02:46.000,2024-10-29 13:04:02.000,29,0.0015028554253080854,99.98422001803425
39,diariodetoluca.com.mx/feed/,2,2919.5,467.5,2024-11-26 20:41:10.000,2024-12-02 18:45:26.000,5,0.0015028554253080854,99.98572287345957
37,diariodelistmo.com/feedgoogle/mundo,2,7572.0,945.5,2024-12-24 00:00:00.000,2024-12-26 00:00:00.000,2,0.0015028554253080854,99.98722572888488
264,www.eluniversal.com.mx/cultura,2,3383.0,575.5,2023-08-03 17:27:32.000,2023-08-03 18:39:24.000,0,0.0015028554253080854,99.9887285843102
27,diario-puntual.com.mx/category/salud/feed/,2,5087.0,804.0,2025-05-24 00:10:08.000,2025-07-08 01:30:32.000,45,0.0015028554253080854,99.99023143973551
278,www.hidrocalidodigital.com/mexico/feed/,2,1889.0,314.0,2024-12-16 11:59:39.000,2025-05-29 19:43:03.000,164,0.0015028554253080854,99.99173429516082
177,pueblaroja.mx/category/internacional,1,1926.0,313.0,2017-12-29 00:00:00.000,2017-12-29 00:00:00.000,0,0.0007514277126540427,99.99248572287348
14,adnoticias.mx/pozo-rey-neza,1,3905.0,624.0,2026-05-09 19:51:58.000,2026-05-09 19:51:58.000,0,0.0007514277126540427,99.99323715058614
176,pueblaroja.mx/,1,5027.0,820.0,2017-11-05 06:24:01.000,2017-11-05 06:24:01.000,0,0.0007514277126540427,99.9939885782988
238,www.eldictamen.mx/category/hechos,1,1825.0,312.0,2024-12-29 10:04:32.000,2024-12-29 10:04:32.000,0,0.0007514277126540427,99.99474000601145
194,sintesis.com.mx/category/cultura,1,2320.0,354.0,2026-01-19 00:00:00.000,2026-01-19 00:00:00.000,0,0.0007514277126540427,99.99549143372411
273,www.heraldoleon.mx/ ,1,4357.0,741.0,2024-12-18 13:26:28.000,2024-12-18 13:26:28.000,0,0.0007514277126540427,99.99624286143677
253,www.elpuntocritico.com/vida-y-estilo,1,5646.0,959.0,2021-04-24 03:13:37.000,2021-04-24 03:13:37.000,0,0.0007514277126540427,99.99699428914943
25,diario-puntual.com.mx/category/edomex/feed/,1,2848.0,434.0,2026-04-08 21:42:44.000,2026-04-08 21:42:44.000,0,0.0007514277126540427,99.99774571686208
21,c-level.mx/comments/feed/,1,2030.0,312.0,2024-09-14 17:45:05.000,2024-09-14 17:45:05.000,0,0.0007514277126540427,99.99849714457474
32,diarioamanecer.com.mx/category/la-revelacion,1,2082.0,320.0,2026-05-04 16:52:13.000,2026-05-04 16:52:13.000,0,0.0007514277126540427,99.9992485722874
26,diario-puntual.com.mx/category/mundo/feed/,1,2519.0,365.0,2026-05-11 10:24:05.000,2026-05-11 10:24:05.000,0,0.0007514277126540427,100.00000000000006
