author,count,porcentaje,porcentaje_acumulado
Europa Press,19814,6.213135573289851,6.213135573289851
La Tribuna De Toledo,14133,4.43172731691256,10.644862890202411
La Tribuna De Talavera,14079,4.414794374500243,15.059657264702654
Nova Ciencia,2712,0.8504099967074834,15.910067261410138
Periodista Digital,1598,0.5010896662015334,16.41115692761167
A Las,1448,0.454053715056208,16.86521064266788
Getty Images,1440,0.45154513099512394,17.316755773663004
La Razón,1304,0.40889920195669555,17.7256549756197
Redacción,1239,0.38851695646038786,18.11417193208009
El Independiente,1041,0.3264295009485583,18.44060143302865
Murcia.com,840,0.2634013264138223,18.704002759442474
Redacción www.facebook.com,838,0.26277418039855127,18.966776939841026
Dpto. De Redacción,836,0.2621470343832803,19.228923974224305
El Faro De Hellín,808,0.2533669901694862,19.48229096439379
Borja Sánchez,728,0.22828114955864598,19.710572113952438
Gemma Martos,644,0.2019410169172638,19.9125131308697
Paul Monzón,631,0.19786456781800224,20.110377698687703
Javier Presas,580,0.1818723444285916,20.292250043116294
El País,550,0.17246515419952652,20.46471519731582
La Marina Plaza La Marina Plaza.,538,0.16870227810790048,20.63341747542372
New Mall Media,537,0.16838870510026496,20.801806180523986
Cinco Días,534,0.16744798607735845,20.969254166601345
Bárbara De La Macorra Morgana Villanelle,467,0.1464385945657798,21.115692761167125
Juan Scaliter,457,0.14330286448942475,21.25899562565655
David Martínez,450,0.14110785343597623,21.400103479092525
Esperanza Murcia,428,0.13420924726799516,21.534312726360522
OKDIARIO www.facebook.com,428,0.13420924726799516,21.66852197362852
E. E.,425,0.13326852824508867,21.801790501873608
Libertad Digital,422,0.13232780922218215,21.93411831109579
Juan Velarde,418,0.13107351719164015,22.065191828287432
Francisco Miralles,408,0.1279377871152851,22.193129615402718
Redacción Vertele Pedro Zárate,404,0.1266834950847431,22.319813110487463
Alfredo Biurrun,399,0.1251156300465656,22.444928740534028
Por Favor Ingrese Su Nombre Aquí,397,0.12448848403129459,22.569417224565324
Castilla-La Mancha,391,0.12260704598548158,22.692024270550807
Redacción La Razón,379,0.11884416989385554,22.81086844044466
Berta F. Quintanilla,376,0.11790345087094904,22.92877189131561
A. Molina,373,0.11696273184804251,23.04573462316365
La Razón Es Un Diario Español De Información General Y De Tirada Nacional Fundado En,372,0.11664915884040702,23.162383782004056
Raoul Higuera,364,0.11414057477932299,23.27652435678338
