author,count,porcentaje,porcentaje_acumulado
El Mercurio S.A.P.,7873,8.877587839971133,8.877587839971133
Portal Innova Grupo Prensa Digital,4937,5.566956835505841,14.444544675476973
Publicado Por,2130,2.4017861169996846,16.846330792476657
Krishna Cárdenas,1933,2.1796490911551123,19.02597988363177
Please Enter Your Name Here,1881,2.1210139371250736,21.146993820756844
Francisco Martorell,1604,1.8086689820035182,22.95566280276036
Colaborador Colaborador,1595,1.7985205899598573,24.75418339272022
Compañia Chilena De Comunicaciones,1467,1.654187903116684,26.4083712958369
Redacción El Rancagüino,1369,1.5436831897523793,27.95205448558928
Central Web,1336,1.5064724189256236,29.458526904514905
Biobio Chile,1201,1.354246538270714,30.81277344278562
Edición El America.Cl Hernan Ordenes,1094,1.2335934328627487,32.04636687564837
Posted By,974,1.0982815389472735,33.14464841459564
Redacción Diario El Día,954,1.0757295566280276,34.22037797122367
Diarios Comunales,846,0.9539488521040999,35.17432682332777
Equipo Ovallehoy,760,0.8569753281313427,36.03130215145911
Luis Vera Arriagada,722,0.8141265617247756,36.845428713183885
El Diario De Antofagasta Noticias De Verdad. Diarioantofagasta.Cl Es El Medio Digital Más Leído De La Región Minera De Chile. Noticias Entrevistas Re,717,0.8084885661449641,37.65391727932885
Redacción El Rancagüino Deportes El Rancagüino,697,0.7859365838257183,38.43985386315457
Por Favor Ingrese Su Nombre Aquí,697,0.7859365838257183,39.225790446980284
Post.Author.Display_Name Post.Publishers .Display_Name,676,0.7622570023905101,39.9880474493708
admin,673,0.7588742050426233,40.74692165441342
Estrategia On line Diario Estrategia,661,0.7453430156510757,41.49226467006449
Prensa El Siglo Tema Por,659,0.7430878174191511,42.235352487483645
Red Comunales,625,0.7047494474764332,42.940101934960076
Desarrollado Por Bio Bio Comunicaciones,592,0.6675386766496775,43.60764061160975
Patricia Schüller Gamboa Https,581,0.6551350863740922,44.26277569798385
Diario El Trabajo,576,0.6494970907942808,44.912272788778125
Lee Todas Las Entradas De Prensaopal Publicado Por,565,0.6370935005186956,45.54936628929682
Puranoticia,515,0.5807135447205809,46.1300798340174
Deportes El Rancagüino,493,0.5559063641694105,46.68598619818681
Cristián Meza,483,0.5446303730097876,47.2306165711966
Francisco Rosales,473,0.5333543818501646,47.763970953046766
Sofia Sanhueza,456,0.5141851968788056,48.27815614992557
Ovejero Noticias,415,0.46795363312435156,48.746109783049924
Europa Press Diario Estrategia,404,0.45555004284876643,49.20165982589869
Editor,398,0.4487844481529927,49.65044427405168
Portal Innova | Grupo Prensa Digital Portal Innova Grupo Prensa Digital,389,0.438636056109332,50.08908033016101
Pamela Lara,381,0.4296152631816336,50.51869559334264
Mauricio Poblete Por Favor Ingrese Su Nombre Aquí,339,0.3822561003112174,50.90095169365386
