author,count,porcentaje,porcentaje_acumulado
Redacción Clarín,13030,12.194551291050153,12.194551291050153
El Destape,6002,5.6171678318406,17.811719122890754
LA NACION,2247,2.102928376898672,19.914647499789425
Redacción Voxpopuli,1663,1.5563728930941216,21.471020392883545
Redacción,1498,1.4019522512657814,22.87297264414933
Noticias Argentinas,1454,1.3607734134448906,24.233746057594217
Agencia Noticias Argentinas,1365,1.2774798551253614,25.511225912719578
Diario El Sureño Tema Por,1336,1.2503392574706835,26.761565170190263
INFOBAE,1265,1.1838915873506097,27.94545675754087
Redacción Mejor Informado,1230,1.1511356936294466,29.096592451170316
César Barón,858,0.8029873375073702,29.899579788677688
El Sol,757,0.7084631870548708,30.60804297573256
Diario El Cordillerano,679,0.6354643381905645,31.243507313923125
Escrito Por Noticias Argentinas,622,0.5821190255589559,31.82562633948208
F autor,586,0.5484272491600453,32.37405358864213
Redacción www.facebook.com,546,0.5109919420501446,32.885045530692274
Claudia Rodríguez,533,0.4988254672394269,33.3838709979317
El Sol .Wp-Block-Co-Authors-Plus-Coauthors.Is-Layout-Flow Class Wp-Block-Co-Authors-Plus Display Inline .Wp-Block-Co-Authors-Plus-Avatar Where Img He,522,0.4885307577842042,33.872401755715906
BarilocheOpina,467,0.4370572105080907,34.309458966224
Jose Kulicoski,460,0.43050603176385804,34.739964997987855
BAE Negocios,413,0.38651954590972476,35.12648454389758
Daiana Larrat,390,0.3649942443215318,35.49147878821911
MinutoUno,384,0.35937894825504674,35.85085773647416
Fabian Rossi,364,0.34066129470009643,36.19151903117426
ANBariloche,362,0.3387895293446014,36.53030856051886
Ignacio Mendez,358,0.3350459986336113,36.86535455915247
Mariano Rojas,325,0.3041618702679432,37.16951642942041
Redacci&oacute;n En Boca de Todos HD,324,0.3032259875901957,37.47274241701061
Lucía Paz Gimenez,304,0.28450833403524534,37.75725075104585
Brand Studio,303,0.2835724513574978,38.04082320240335
LaVozDelPueblo La Voz del Pueblo,299,0.2798289206465078,38.32065212304986
Hugo Alejandro Amaolo,297,0.2779571552910127,38.598609278340874
Darío Ibáñez Manzano,292,0.27327774190227516,38.87188702024315
Luciana Nadales,292,0.27327774190227516,39.14516476214543
Franco Urrutia,287,0.26859832851353754,39.41376309065897
Gustavo Pascualetti Lo Principal,286,0.26766244583579,39.68142553649476
NoticiasNet,278,0.2601753844138099,39.94160092090857
Damián Aloi,273,0.2554959710250723,40.19709689193364
Mariano Huguet,266,0.24894479228083966,40.44604168421448
Martín Grosz,265,0.24800890960309216,40.69405059381757
