author,count,porcentaje,porcentaje_acumulado
El Heraldo De Coatzacoalcos,1972,1.95,1.95
Redacción,1418,1.4,3.35
La Redacción,1247,1.23,4.59
Milenio Digital,1192,1.18,5.77
Crónica De Xalapa,1080,1.07,6.83
Redacción Síntesis,926,0.92,7.75
Columna Invitada,906,0.9,8.65
Agencia Reforma,871,0.86,9.51
Cristian Estefes,821,0.81,10.32
Redacción El Heraldo Digital,796,0.79,11.11
Puente Libre - Periódico Y Noticias De Ciudad Juárez.,793,0.78,11.89
Agencia Ap,752,0.74,12.64
Mónica Adame,737,0.73,13.37
Feliciano Vasquez Tema Por,691,0.68,14.05
Julieta Gutiérrez Pérez,668,0.66,14.71
Juan Ortiz,660,0.65,15.36
Redacción Horas,639,0.63,15.99
Roberto Badillo,604,0.6,16.59
Redacción Heraldo De México Oaxaca,598,0.59,17.18
Editorial Staff,574,0.57,17.75
Redacción Am,513,0.51,18.26
Guillermo Espinosa,480,0.47,18.73
Jorge López Landó,469,0.46,19.2
Lérida Cabello,444,0.44,19.64
Claudia Juárez,429,0.42,20.06
Adrián Juárez Aguilar,426,0.42,20.48
Baru Vázquez,422,0.42,20.9
Ana Paula Vázquez,416,0.41,21.31
Valeria Mendoza,391,0.39,21.7
Redacción Intolerancia,387,0.38,22.08
Carolina Hermida,385,0.38,22.46
Alfonso Th,371,0.37,22.83
César Becerra,366,0.36,23.19
Milenio Entretenimiento,360,0.36,23.55
La Jornada,355,0.35,23.9
Lourdes Naranjo,352,0.35,24.25
Por El Dictamen,352,0.35,24.59
Jorge Castillo,350,0.35,24.94
Daniela Amaro,347,0.34,25.28
Celeste Gutiérrez,344,0.34,25.62
