,total_tokens,unique_words,sentences,non_stop_words,type_token_ratio,avg_sentence_len,content_ratio
count,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
mean,625.699,250.093,19.139,283.72,0.481,36.488,0.526
std,375.921,110.773,15.489,169.595,0.06,32.256,0.034
min,323.0,80.0,1.0,104.0,0.093,3.486,0.384
25%,423.0,185.0,12.0,193.0,0.449,28.438,0.504
50%,519.0,219.0,15.0,236.0,0.486,34.471,0.524
75%,689.0,278.0,22.0,313.0,0.521,42.0,0.544
max,14341.0,5243.0,1419.0,8999.0,0.74,9293.0,1.0
