,total_tokens,unique_words,sentences,non_stop_words,type_token_ratio,avg_sentence_len,content_ratio
count,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
mean,761.553,293.687,27.409,342.115,0.475,30.806,0.526
std,523.879,148.897,24.079,230.931,0.06,10.923,0.035
min,320.0,51.0,1.0,97.0,0.038,4.491,0.374
25%,453.0,198.0,15.0,205.0,0.439,24.973,0.505
50%,604.0,249.0,21.0,273.0,0.48,29.482,0.523
75%,879.0,340.0,31.0,397.0,0.517,34.938,0.544
max,19356.0,4099.0,1133.0,8722.0,0.74,787.5,0.981
