,total_tokens,unique_words,sentences,non_stop_words,type_token_ratio,avg_sentence_len,content_ratio
count,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
mean,858.706,321.44,29.574,380.205,0.461,32.87,0.515
std,615.245,163.876,27.356,270.224,0.061,12.817,0.037
min,320.0,9.0,1.0,4.0,0.022,4.52,0.388
25%,508.0,216.0,15.0,227.0,0.423,25.8,0.494
50%,694.0,278.0,22.0,308.0,0.463,31.0,0.512
75%,999.0,375.0,34.0,445.0,0.503,37.683,0.532
max,19771.0,3676.0,1288.0,9054.0,1.0,595.0,0.994
