,media_name_normalized,num_samples,mean_tokens,median_tokens,mean_unique_words,mean_sentences,mean_ttr,mean_sent_len,mean_content_ratio
0,cooperativa.cl,5282,616.4977281332829,531.0,249.64331692540705,16.081029912911777,0.4984415050664304,39.953871597202266,0.5197058292795298
1,diarioeldia.cl,5500,665.2396363636364,585.0,264.5129090909091,18.034545454545455,0.4742232256219521,39.94818325099098,0.5205375614486804
2,elinformador.cl,2900,894.6041379310345,651.0,327.7458620689655,28.396206896551725,0.4599510952340908,34.646656826612606,0.5217593979743423
3,elproa.cl,2525,652.4146534653465,557.0,262.1940594059406,19.73029702970297,0.48670989513351515,35.8438082585577,0.5315538351003734
4,elreporterodeiquique.com,1706,613.109613130129,551.5,248.40973036342322,17.651230949589685,0.4850340246285092,38.68270522370517,0.5334183758109784
5,lasnoticiasdemalleco.cl,1727,546.9658367110596,485.0,229.84308048639258,12.30862767805443,0.4939720482935138,49.39478717030685,0.5094791940162676
6,portalinnova.cl,5014,765.2074192261667,686.0,293.180893498205,22.391104906262466,0.4586832516278678,35.98363107740659,0.540195170848527
7,prensaopal.cl,1998,1653.321821821822,1405.5,589.8098098098098,47.73623623623624,0.43957139420780583,37.483083111568604,0.5196201317703226
8,redgol.cl/rss/feed,2017,523.9201784828954,465.0,212.03569657907784,21.5552801189886,0.4891317031880983,26.225580607714395,0.5293766150234834
9,sabes.cl,2953,553.0887233322045,487.0,232.47646461225872,18.52150355570606,0.5017308578374386,31.266074746407106,0.5226715916802503
10,www.antofagastanoticias.cl,1645,641.9689969604863,600.0,255.54772036474165,16.251063829787235,0.47021431208629655,41.9321488399555,0.5300087481618323
11,www.biobiochile.cl,8268,677.5200774068699,529.0,256.5960328979197,23.02697145621674,0.4626398133326505,31.858744324000813,0.5241538060703925
12,www.diariolaunion.cl,2069,725.8772353794103,655.0,286.8782020299662,21.66698888351861,0.4746377865029608,35.74239986085507,0.5127549509372508
13,www.diariolaunion.cl/enlace,3197,649.9199249296215,571.0,265.6074444791993,20.670003127932436,0.4920610833486415,34.1227316015926,0.518375752977215
14,www.diarioviregion.cl,1622,584.3890258939581,531.0,241.86744759556103,15.807644882860666,0.48807006574901224,41.2283578988578,0.5289735439240035
15,www.elmostrador.cl/mercados,1722,1185.081881533101,874.0,419.31591173054585,37.851335656213706,0.446388057087149,34.82501942146177,0.512927757384011
16,www.elrancaguino.cl,3395,763.8055964653903,607.0,287.11870397643594,25.120765832106038,0.4798848589352733,35.22805727174986,0.5381683719123096
17,www.emol.com,4061,779.0561438069441,618.0,285.9044570302881,23.222359024870723,0.4560872060176681,37.31344558604675,0.5089067978808473
18,www.emol.com/multimedia,1975,775.9645569620253,655.0,278.18126582278484,24.219240506329115,0.45283772157601637,41.69095995083729,0.5159562101501783
19,www.meganoticias.cl,2536,589.0946372239748,488.0,234.14668769716087,22.75473186119874,0.4918045233743091,26.759917826239878,0.5267218203146147
