,media_name_normalized,num_samples,mean_tokens,median_tokens,mean_unique_words,mean_sentences,mean_ttr,mean_sent_len,mean_content_ratio
0,abc.miled.com,6215,660.5061946902655,510.0,261.6004827031376,21.77795655671762,0.4841007770560219,34.11567986198329,0.526381734253473
1,diarioportal.com/,2737,633.5933503836317,532.0,262.8754110339788,19.26817683595177,0.49401066075974365,35.95037874162305,0.5354538972039544
2,eldiariodedelicias.mx,2479,664.6518757563533,553.0,274.3574021782977,20.621218233158533,0.49239345326292283,37.55613345083591,0.5230393875599431
3,heraldodexalapa.com.mx,18043,574.8301280274899,520.0,238.4656653549853,17.80895638197639,0.4857091304231281,36.069313641424245,0.5243643540307885
4,intoleranciadiario.com,2317,518.4428139835995,487.0,226.2192490289167,15.555891238670695,0.5071603735728726,36.48292840411754,0.5183634177625627
5,jornadaveracruz.com.mx/,2175,637.6468965517241,563.0,270.45103448275864,19.068045977011494,0.5013208561892913,37.075463026373036,0.528497199317978
6,lasillarota.com,15963,672.6232537743532,559.0,266.5718849840256,20.007016225020358,0.47019801479313134,36.914160100476316,0.521621015137142
7,lasillarota.com/seleccion,4009,625.4549763033175,523.0,239.81990521327015,20.225243202793713,0.47161558336328213,36.10844986550951,0.5274784940380783
8,milenio.com,3394,681.6063641720683,532.0,272.00117855038303,23.21950500883913,0.4863858327131255,33.26158951727186,0.5318855554085299
9,mtpnoticias.com,2095,541.9069212410501,479.0,214.26157517899762,16.368973747016707,0.4733204413632974,35.1542923934909,0.5382007973710108
10,noticiasenlamira.com,2128,560.4088345864661,468.0,234.27302631578948,17.421992481203006,0.5050206626090067,33.96748934723666,0.5377575379250742
11,www.24-horas.mx,2636,574.9283004552352,489.0,241.95599393019728,16.770864946889226,0.5078272641193713,36.72183335198546,0.5239639494297068
12,www.am.com.mx,2125,720.5096470588235,603.0,283.5091764705882,25.17364705882353,0.4777188449308577,30.118884422902184,0.5223853328276064
13,www.am.com.mx/jalisco,6806,645.5082280340876,540.0,260.18909785483396,22.270790478989127,0.48404767560901385,30.917154988045542,0.5263591295866115
14,www.capitalmexico.com.mx,3195,576.3336463223787,497.0,226.9471048513302,17.97527386541471,0.4693521376794236,36.103385253507554,0.5350164357345647
15,www.ejecentral.com.mx,2072,672.530888030888,556.0,272.18484555984554,20.502413127413128,0.4903090060438384,35.09518228032906,0.5322948240683777
16,www.eleconomista.com.mx/mercados,2182,704.4335472043996,638.5,281.480751604033,23.215857011915674,0.4769100449028588,33.52623019225467,0.538517446212846
17,www.elfinanciero.com.mx/,3348,689.7658303464755,614.5,274.51403823178015,23.444444444444443,0.47349215078276147,31.808094147266985,0.534823635731596
18,www.proceso.com.mx,3273,820.0754659333944,676.0,313.01099908340973,25.444240757714635,0.471832065515815,35.56883822606257,0.5317765574444263
19,www.proceso.com.mx/contacto,4034,734.6008924144769,566.0,276.1898859692613,22.153693604362914,0.469401105765377,36.65118740079152,0.5318563892845446
